506
506 1280
      col_name  feature_importance_vals
1100      1101                 0.865207
912        913                 0.863391
568        569                 0.862338
205        206                 0.862336
1138      1139                 0.862196
183        184                 0.861343
980        981                 0.860790
172        173                 0.859977
267        268                 0.859770
413        414                 0.859381
1037      1038                 0.859259
848        849                 0.858439
744        745                 0.857574
587        588                 0.856327
270        271                 0.856307
196        197                 0.855034
285        286                 0.854796
14          15                 0.854779
827        828                 0.854683
1075      1076                 0.854532
1150      1151                 0.853798
335        336                 0.853685
344        345                 0.852233
459        460                 0.851510
227        228                 0.851124
1151      1152                 0.850482
892        893                 0.850417
576        577                 0.848310
598        599                 0.847602
510        511                 0.847478
1050      1051                 0.846685
820        821                 0.846564
246        247                 0.843359
949        950                 0.843049
1147      1148                 0.842075
1130      1131                 0.839610
269        270                 0.837552
799        800                 0.837124
1124      1125                 0.837031
1023      1024                 0.836626
1167      1168                 0.835783
1108      1109                 0.835555
650        651                 0.834688
499        500                 0.832115
165        166                 0.831924
1031      1032                 0.828509
1137      1138                 0.827834
1102      1103                 0.827783
549        550                 0.827254
260        261                 0.827241
540        541                 0.825636
513        514                 0.824036
245        246                 0.822230
1203      1204                 0.820486
23          24                 0.819172
236        237                 0.818130
57          58                 0.817828
575        576                 0.817671
1087      1088                 0.816165
1068      1069                 0.815086
1065      1066                 0.814739
967        968                 0.814423
944        945                 0.813481
464        465                 0.809624
6            7                 0.809360
976        977                 0.809036
902        903                 0.808459
817        818                 0.807478
436        437                 0.804905
223        224                 0.804623
715        716                 0.802594
1259      1260                 0.801128
1161      1162                 0.800837
102        103                 0.796957
1040      1041                 0.796637
433        434                 0.795943
114        115                 0.795376
1274      1275                 0.795079
74          75                 0.793764
880        881                 0.791891
724        725                 0.791511
1003      1004                 0.790362
44          45                 0.788424
977        978                 0.788100
503        504                 0.787825
1043      1044                 0.785473
659        660                 0.785256
157        158                 0.784200
1156      1157                 0.783152
51          52                 0.781755
630        631                 0.779660
536        537                 0.778872
1238      1239                 0.777582
1275      1276                 0.773490
824        825                 0.772358
1089      1090                 0.771891
556        557                 0.771867
230        231                 0.771011
604        605                 0.770013
495        496                 0.769719
656        657                 0.767569
1092      1093                 0.764641
460        461                 0.763251
405        406                 0.762575
680        681                 0.761315
248        249                 0.760560
1234      1235                 0.760221
251        252                 0.757964
791        792                 0.757626
1088      1089                 0.754957
812        813                 0.754421
234        235                 0.753856
1158      1159                 0.753046
851        852                 0.752667
